AccID	Location	Exon	R900_Junc_Inclusive::Exclusive	Y58S_Junc_Inclusive::Exclusive	R900_Exp_Inclusive::Exclusive	Y58S_Exp_Inclusive::Exclusive	delta_PSI	P-Value	FDR	SplicingType
LOC_Os03g15600	Chr3:8607663-8607713	3	2465::11	2546::7	1113::1969	1154::1469	-0.0016998801661588514	0.48114490988332737	0.9989978565313636	Cassette
LOC_Os08g01100	Chr8:72193-72199	3	5153::25	4396::0	3222::5575	2744::5047	-0.004828118964851247	0.48118195081610343	0.9989978565313636	A5SS
LOC_Os07g45160	Chr7:26953553-26953569	2	373::21	294::52	305::254	264::254	0.0969895249552537	0.4814714789140599	0.9989978565313636	A5SS
LOC_Os02g38804	Chr2:23455960-23456787	2	0::159	37::99	61::135	91::106	-0.27205882352941174	0.48219907297673165	0.9989978565313636	A3SS
LOC_Os06g10690	Chr6:5579385-5579407	9	48::53	103::38	586::2914	589::2792	-0.25524892914823405	0.48247798435445316	0.9989978565313636	A3SS
LOC_Os09g32550	Chr9:19437521-19437530	2	67::546	0::762	309::1299	333::1051	0.10929853181076672	0.48254715426221956	0.9989978565313636	A3SS
LOC_Os03g15020	Chr3:8198114-8198161	11	935::87	791::16	955::615	801::474	-0.06530068359777585	0.4831027724957494	0.9989978565313636	A5SS
LOC_Os06g05240	Chr6:2359412-2359645	12	9::903	55::961	254::889	307::966	-0.044265437215084955	0.4834984941034991	0.9989978565313636	A3SS
LOC_Os03g18620	Chr3:10431486-10431510	3-4	95::680	162::643	100::691	178::706	-0.07866159086355441	0.4845295716847418	0.9989978565313636	Cassette
LOC_Os07g29450	Chr7:17280885-17280892	3	0::188	0::181	691::2013	541::2121	0.0	0.4845947804082524	0.9989978565313636	A3SS
LOC_Os01g29610	Chr1:16596939-16597071	9-10	306::978	198::982	230::1122	213::1247	0.07006837839832619	0.4848194399753186	0.9989978565313636	Cassette
LOC_Os03g50330	Chr3:28713788-28713808	5	43::617	65::385	200::757	166::525	-0.07929292929292928	0.48560474129759273	0.9989978565313636	A3SS
LOC_Os03g55150	Chr3:31390014-31390063	5-6	145::14594	1287::13491	50::15578	48::14132	-0.07724540502047102	0.48611656934351405	0.9989978565313636	Cassette
LOC_Os02g45974	Chr2:28015337-28015391	1	480::58	636::32	467::270	623::304	-0.05990249983304763	0.48704228700028274	0.9989978565313636	A3SS
LOC_Os05g41940	Chr5:24563089-24563885	4	904::223	564::173	921::342	531::292	0.03665281904820705	0.4878555476155524	0.9989978565313636	AltEnd
LOC_Os02g15920	Chr2:9011786-9011794	1	116::44	75::60	133::209	108::180	0.1694444444444444	0.4881340167947124	0.9989978565313636	A5SS
LOC_Os10g27060	Chr10:14262233-14262630	5	1164::21	2085::1	581::630	1088::984	-0.017242132601915094	0.48881929325123735	0.9989978565313636	Cassette_multi
LOC_Os03g06980	Chr3:3563089-3563098	5	44::20	33::48	5601::3736	6521::4372	0.2764570552147239	0.4890133394533077	0.9989978565313636	A3SS
LOC_Os09g39640	Chr9:22749105-22749122	4-5	49::203	125::124	95::272	180::270	-0.30756358768406966	0.489186437989163	0.9989978565313636	Cassette
LOC_Os01g58240	Chr1:33672254-33673860	11	46::60	0::69	82::243	21::164	0.4339622641509434	0.48920402391500784	0.9989978565313636	A5SS
LOC_Os07g13270	Chr7:7623790-7623864	2-3	242::1136	149::1107	230::1558	148::1439	0.05698626274578683	0.4893447064369457	0.9989978565313636	Cassette
LOC_Os09g35980	Chr9:20740071-20740090	before first	35::133	10::163	38::213	20::244	0.15052986512524086	0.4901141344841121	0.9989978565313636	Cassette
LOC_Os10g42940	Chr10:23148102-23148107	6	109::1722	91::1888	747::1329	643::1498	0.013547491699436101	0.4905094795793474	0.9989978565313636	A3SS
LOC_Os06g08530	Chr6:4215911-4215973	6	19822::0	19944::35	17037::18831	16249::14244	0.0017518394314030017	0.4906092612853472	0.9989978565313636	A5SS
LOC_Os01g65610	Chr1:38084349-38084369	before first	252::44	233::5	1759::2608	1777::2798	-0.1276402452873041	0.49092992146760245	0.9989978565313636	Cassette
LOC_Os09g35990	Chr9:20740071-20740090	1-2	35::133	10::163	38::156	20::157	0.15052986512524086	0.4910988081849394	0.9989978565313636	Cassette
LOC_Os01g70410	Chr1:40785598-40785612	10	0::309	1::245	215::447	557::656	-0.0040650406504065045	0.4911226979091864	0.9989978565313636	A5SS
LOC_Os11g31740	Chr11:18611172-18611191	7	0::135	5::956	7::113	10::678	-0.005202913631633715	0.4913517035786082	0.9989978565313636	A3SS
LOC_Os03g01250	Chr3:174827-174886	1	1069::72	971::24	1285::1048	1170::907	-0.0389819386150736	0.4919344787642503	0.9989978565313636	Cassette
LOC_Os10g41450	Chr10:22279355-22279441	5-6	36::1061	0::911	57::1072	33::899	0.032816773017319965	0.4930770301616324	0.9989978565313636	Cassette
LOC_Os07g31550	Chr7:18728452-18728728	1	72::151	9::147	49::149	13::120	0.26517764746464295	0.4931227347129564	0.9989978565313636	A5SS
LOC_Os01g61814	Chr1:35760500-35760626	7	3597::4294	5886::4633	1430::6936	1806::7541	-0.10374169821274865	0.49356746351043684	0.9989978565313636	Cassette_multi
LOC_Os06g50510	Chr6:30578846-30578851	4-5	61::20	52::38	26::111	36::110	0.1641903518174016	0.4936080574652601	0.9989978565313636	A3SS
LOC_Os07g13980	Chr7:7983551-7983638	16	1412::0	1408::48	1606::392	1453::387	0.03296703296703296	0.4943081374661541	0.9989978565313636	A3SS
LOC_Os02g56270	Chr2:34433769-34433850	1-2	70::537	107::429	84::661	149::592	-0.08430561361233371	0.494830828276315	0.9989978565313636	Cassette
LOC_Os01g56620	Chr1:32665950-32665966	5	236::0	220::30	245::210	208::187	0.12	0.4948474479917846	0.9989978565313636	A3SS
LOC_Os05g51550	Chr5:29555281-29555320	8-9	212::1127	109::1240	195::1610	120::1796	0.077526516751545	0.49544064315001735	0.9989978565313636	Cassette
LOC_Os06g18830	Chr6:10693447-10693527	1-2	102::346	75::531	63::190	42::256	0.10391619519094766	0.49718819197290215	0.9989978565313636	AltStart
LOC_Os04g02870	Chr4:1123752-1124184	3	796::975	660::1213	526::2175	439::2746	0.09708771230626428	0.49764943972619113	0.9989978565313636	Cassette
LOC_Os11g43590	Chr11:26300253-26300333	2-3	32::1090	42::1402	286::230	698::306	-5.452448359022782E-4	0.4979180828042579	0.9989978565313636	AltStart
LOC_Os01g52864	Chr1:30397849-30397929	before first	55::30	82::6	145::351	151::415	-0.28475935828876997	0.4988090012335636	0.9989978565313636	AltEnd
LOC_Os06g48940	Chr6:29631269-29631327	18	698::41	815::17	762::595	864::625	-0.03504768658270008	0.4991937571444675	0.9989978565313636	A3SS
LOC_Os04g41920	Chr4:24843147-24843172	2	1009::1036	1246::598	1616::559	1910::499	-0.18230645614667806	0.4999175689550404	0.9989978565313636	A3SS
LOC_Os09g32450	Chr9:19377954-19378031	6	626::3	581::34	628::443	676::576	0.050515077487817805	0.5009090786783573	0.9989978565313636	A5SS
LOC_Os01g38100	Chr1:21339618-21339627	1	16::89	70::54	160::32	201::50	-0.39058794082441306	0.501041219328245	0.9989978565313636	A5SS
LOC_Os02g47890	Chr2:29294772-29294780	1	238::4	258::8	173::308	186::174	0.013546262350090155	0.5017728976134284	0.9989978565313636	A5SS
LOC_Os01g37110	Chr1:20716290-20716296	8	112::19	226::0	66::111	121::198	-0.14503816793893132	0.5020190588613678	0.9989978565313636	A5SS
LOC_Os04g28420	Chr4:16814374-16814446	11	469::0	9017::11	720::1032	14187::21057	0.0012184315463004136	0.5024511825002986	0.9989978565313636	A5SS
LOC_Os08g29650	Chr8:18193148-18194086	6-7	547::2481	507::2962	898::2724	766::2983	0.0344956632304316	0.5026391350492341	0.9989978565313636	Cassette
LOC_Os03g15180	Chr3:8296070-8296166	19	179::61	178::109	528::872	619::1061	0.12562427409988386	0.5026850724448717	0.9989978565313636	A3SS
LOC_Os01g25530	Chr1:14475333-14475450	4	610::348	289::324	802::1503	504::1019	0.16462000377218067	0.5027645615269639	0.9989978565313636	Cassette
LOC_Os01g61814	Chr1:35765062-35765066	1	8428::0	11716::985	1209::564	1192::824	0.07756544461409998	0.5043771276584618	0.9989978565313636	AltStart
LOC_Os01g51360	Chr1:29531078-29531186	2	2::736	0::504	300::556	159::498	0.002708192281651997	0.5045174247274212	0.9989978565313636	AltEnd
LOC_Os01g52851	Chr1:30394732-30394785	2	1014::0	1123::30	516::399	848::916	0.02601908065915004	0.5056025371293452	0.9989978565313636	Cassette
LOC_Os07g45000	Chr7:26848618-26848836	4	20::248	0::260	30::283	91::304	0.07462686567164178	0.5060159256870428	0.9989978565313636	A5SS
LOC_Os08g41460	Chr8:26177317-26177816	3	275::86	272::14	96::279	80::252	-0.18927609786335542	0.5060284824052362	0.9989978565313636	AltStart
LOC_Os03g31010	Chr3:17671121-17671133	5	1429::57	1553::13	1340::1899	1281::1745	-0.03005925288864819	0.5062405325977171	0.9989978565313636	A5SS
LOC_Os09g33900	Chr9:20016648-20017212	11	23::213	3::286	82::185	49::248	0.08707700428127382	0.5065580887391339	0.9989978565313636	A3SS
LOC_Os07g48490	Chr7:29004353-29004374	1	67::40	164::42	5414::3432	7949::5016	-0.17093322497629693	0.5065720553669146	0.9989978565313636	Cassette
LOC_Os07g33610	Chr7:20078599-20078696	2	333::366	395::256	195::809	211::669	-0.13036398277987643	0.506580266801425	0.9989978565313636	Cassette
LOC_Os03g51230	Chr3:29305945-29306063	2	23::842	9::1064	224::1489	156::1748	0.018201897332852088	0.5072488406726793	0.9989978565313636	A3SS
LOC_Os10g32710	Chr10:17121233-17121238	9	489::1845	501::1395	1759::2704	1562::2331	-0.05472893820572064	0.5078024014795974	0.9989978565313636	A3SS
LOC_Os08g11220	Chr8:6602378-6602520	5	2556::3	1542::0	252::502	166::165	-7.185518503544097E-4	0.5086293100860201	0.9989978565313636	Cassette
LOC_Os05g49470	Chr5:28358364-28358418	2	327::44	206::87	509::839	359::596	0.17832994489572507	0.5090290661616287	0.9989978565313636	A3SS
LOC_Os09g25960	Chr9:15589166-15590013	4	43::84	92::11	122::202	171::170	-0.5546212063297913	0.5091297255818713	0.9989978565313636	Cassette
LOC_Os01g12080	Chr1:6574037-6574042	6	5::734	40::716	122::679	133::779	-0.0461441530453709	0.5091436470841626	0.9989978565313636	A3SS
LOC_Os02g40330	Chr2:24409211-24409294	4	180::16	182::45	105::44	95::44	0.11722522723470696	0.5098809120500658	0.9989978565313636	Cassette
LOC_Os03g04550	Chr3:2125333-2125343	4	3576::408	4557::761	3132::1172	4186::1850	0.04068927081020579	0.510178806232877	0.9989978565313636	A3SS
LOC_Os09g36260	Chr9:20922517-20923297	before first	443::19	111::28	512::638	302::338	0.16031330779532216	0.511417682125366	0.9989978565313636	Cassette_multi
LOC_Os12g29680	Chr12:17707427-17707507	before first	1::207	14::72	8::15	7::15	-0.1561595243631655	0.5126561753888879	0.9989978565313636	AltStart
LOC_Os02g37830	Chr2:22824906-22824934	6	104::396	48::478	205::357	140::340	0.11674524714828896	0.5137132992931597	0.9989978565313636	A3SS
LOC_Os08g01840	Chr8:516508-516589	2-3	560::1846	259::2330	1373::3209	1191::3487	0.13265475695887	0.5139105089832262	0.9989978565313636	Cassette_multi
LOC_Os03g15020	Chr3:8196963-8196975	15	87::1763	14::1602	506::1679	410::1360	0.03836366069039336	0.5146864602403707	0.9989978565313636	A3SS
LOC_Os01g13150	Chr1:7329113-7329186	8-9	49::678	9::759	181::987	112::955	0.05568152510316368	0.5152624448937398	0.9989978565313636	Cassette
LOC_Os07g10860	Chr7:5931288-5931337	2	218::27	231::0	200::341	222::298	-0.11020408163265305	0.5157354848078103	0.9989978565313636	Cassette
LOC_Os06g42540	Chr6:25583107-25583554	1	209::149	97::69	643::410	248::260	6.208678726046246E-4	0.5170591472466454	0.9989978565313636	A5SS
LOC_Os01g63410	Chr1:36736691-36736718	2	96::94	117::7	673::642	786::684	-0.4382852292020374	0.5171309122112815	0.9989978565313636	A3SS
LOC_Os11g20490	Chr11:11872382-11872444	1-2	128::643	58::624	467::1022	311::957	0.08097416996626235	0.5178859704208928	0.9989978565313636	Cassette
LOC_Os11g44310	Chr11:26779893-26779943	3	50::48	105::41	42::130	77::122	-0.20897400055912774	0.5190512274409783	0.9989978565313636	Cassette
LOC_Os07g41570	Chr7:24914789-24915125	11	1755::7	1798::50	1014::1034	1026::1154	0.023083518826992222	0.5195242417205114	0.9989978565313636	Cassette_multi
LOC_Os05g33890	Chr5:19993159-19993411	11	11::1826	0::2560	57::1658	66::2379	0.005988023952095809	0.5197103292697305	0.9989978565313636	A3SS
LOC_Os12g16680	Chr12:9557074-9557202	5-6	113::52	107::12	385::355	340::303	-0.21431117901706143	0.5208637885076883	0.9989978565313636	Cassette
LOC_Os04g40950	Chr4:24306956-24307152	6	25841::0	36594::298	28158::33558	40338::48718	0.00810239665785173	0.5224412235529557	0.9989978565313636	Cassette_multi
LOC_Os03g18720	Chr3:10482149-10482248	1-2	182::5377	78::5854	113::4492	62::4940	0.01959067913294971	0.5224886036043619	0.9989978565313636	Cassette
LOC_Os03g49180	Chr3:28016071-28016126	2-3	33::2859	4::2689	476::2374	343::2077	0.009925456038630967	0.5225026761980034	0.9989978565313636	Cassette
LOC_Os03g27019	Chr3:15471005-15471076	6	9045::733	12044::1358	4445::6416	5832::8922	0.026363954617153906	0.5225149704235754	0.9989978565313636	Cassette
LOC_Os04g41100	Chr4:24374144-24374210	5	111::4628	151::3370	385::4197	372::3119	-0.01945449964663538	0.5227462761625945	0.9989978565313636	A3SS
LOC_Os03g49960	Chr3:28474746-28474751	19	1224::108	1227::55	880::996	873::961	-0.03817936501243824	0.5233745480424908	0.9989978565313636	A5SS
LOC_Os02g12130	Chr2:6311691-6311788	2	311::20	211::2	793::652	593::327	-0.05103328936357321	0.5243635122679189	0.9989978565313636	MXE
LOC_Os08g05510	Chr8:2938235-2938271	3	2630::23	2991::0	2567::2579	2928::2759	-0.008669430833019187	0.5245631498792908	0.9989978565313636	A5SS
LOC_Os01g41565	Chr1:23539960-23540675	before first	70::967	149::495	80::890	91::505	-0.16386404882694344	0.5251381886251859	0.9989978565313636	A5SS
LOC_Os06g37364	Chr6:22079418-22079586	2-3	109::309	143::181	84::277	111::200	-0.1810733643050716	0.5258685164476234	0.9989978565313636	AltStart
LOC_Os04g31120	Chr4:18606291-18606384	5	92::50	151::26	88::245	134::318	-0.20522002068910639	0.5274160366050527	0.9989978565313636	Cassette
LOC_Os04g55920	Chr4:33308837-33308939	2	15513::0	13708::0	8128::5786	7322::4111	0.0	0.5281706717770047	0.9989978565313636	Cassette_multi
LOC_Os05g33514	Chr5:19686631-19686659	1	1263::1	409::0	1288::691	412::130	-7.911392405063333E-4	0.5296215730314567	0.9989978565313636	A5SS
LOC_Os10g36470	Chr10:19515098-19515103	10	2165::53	2460::22	1139::2038	1286::2247	-0.015020813217037299	0.5304331731430367	0.9989978565313636	A3SS
LOC_Os04g36910	Chr4:22269150-22270027	3	308::87	107::120	835::634	677::514	0.3083811966765182	0.5326413813463841	0.9989978565313636	A5SS
LOC_Os12g21890	Chr12:12323971-12324040	12	3522::0	2581::22	1766::3058	1159::2256	0.008440113557891538	0.532719630579555	0.9989978565313636	Cassette
LOC_Os11g42540	Chr11:25615719-25615775	5	243::67	319::37	140::273	161::256	-0.11219644798840167	0.5328372030464013	0.9989978565313636	Cassette
LOC_Os06g10230	Chr6:5245787-5245843	26	9591::252	9917::383	10642::10251	10986::10495	0.011582515394607973	0.533322173230792	0.9989978565313636	Cassette
LOC_Os03g05660	Chr3:2824049-2824085	10	0::701	0::698	592::1172	262::872	0.0	0.5341742858695165	0.9989978565313636	A3SS
LOC_Os01g61780	Chr1:35741488-35742411	16	0::1300	42::1143	192::1654	182::1560	-0.035443037974683546	0.5342105658598004	0.9989978565313636	A3SS
LOC_Os03g31570	Chr3:18020059-18020065	9	379::1403	537::1364	635::1440	736::1555	-0.06980052438583037	0.5366127994642176	0.9989978565313636	A5SS
LOC_Os11g34230	Chr11:20046684-20046851	4	1911::185	1602::254	2706::2669	2347::2290	0.048372646940302855	0.5372041536796862	0.9989978565313636	Cassette
LOC_Os02g06720	Chr2:3369969-3370008	before first	908::86	864::28	925::1081	873::1031	-0.05512898015898082	0.5373431722769033	0.9989978565313636	Cassette
LOC_Os05g32390	Chr5:18895163-18895189	3	154::37	213::9	156::175	201::185	-0.15317673694637046	0.5373818527329511	0.9989978565313636	A5SS
LOC_Os02g29380	Chr2:17453190-17453224	13	37::2321	82::2367	156::2095	184::2163	-0.01779179052501393	0.5374749816381512	0.9989978565313636	A5SS
LOC_Os04g59000	Chr4:35097417-35097451	2	90::120	157::63	129::309	178::314	-0.2850649350649351	0.5379436632765635	0.9989978565313636	A5SS
LOC_Os04g18030	Chr4:9945724-9945729	18	597::70	559::20	513::627	464::552	-0.07030766054098703	0.5380677395222639	0.9989978565313636	A5SS
LOC_Os02g26400	Chr2:15505718-15505848	4-5	214::32	227::78	201::185	225::235	0.12565640410502465	0.5383804550284182	0.9989978565313636	Cassette
LOC_Os03g33580	Chr3:19184926-19184976	5-6	54::2391	28::2675	86::640	55::709	0.011714041442081907	0.539482960816712	0.9989978565313636	Cassette
LOC_Os07g37810	Chr7:22677127-22677207	before first	71::434	23::453	62::436	38::379	0.09227473167484818	0.5398079912677	0.9989978565313636	AltStart
LOC_Os12g19549	Chr12:11375318-11375420	5	234::0	194::29	306::248	272::248	0.1300448430493274	0.5399275303234886	0.9989978565313636	A5SS
LOC_Os01g66180	Chr1:38445641-38445922	3	109::1234	51::1300	264::857	224::964	0.04341176360358533	0.5399318508806049	0.9989978565313636	Cassette
LOC_Os04g57700	Chr4:34347332-34347369	8	298::610	341::473	377::755	392::655	-0.09108613564059109	0.5401387623375358	0.9989978565313636	A5SS
LOC_Os04g35620	Chr4:21706857-21706944	7	324::945	279::328	294::1086	223::527	-0.204318412843072	0.5412691766546107	0.9989978565313636	Cassette
LOC_Os03g11200	Chr3:5764354-5764454	6-7	382::68	207::80	892::2098	687::2134	0.1276345334881921	0.5440427054056425	0.9989978565313636	Cassette
LOC_Os05g34320	Chr5:20316887-20317328	6	48::831	19::1125	126::671	112::838	0.038042556483600186	0.5441294676479411	0.9989978565313636	A3SS
LOC_Os05g37410	Chr5:21888358-21888497	17	2016::94	2412::172	459::513	491::783	0.021704547903254157	0.5445513463829273	0.9989978565313636	Cassette_multi
LOC_Os10g26990	Chr10:14230036-14230062	2	1269::0	1104::31	1606::2459	1191::2187	0.027312775330396444	0.5447105179445739	0.9989978565313636	A3SS
LOC_Os08g06040	Chr8:3295568-3295599	4	17186::221	17317::40	15017::9579	14740::9431	-0.010391496105829678	0.5448877976212613	0.9989978565313636	A3SS
LOC_Os05g33260	Chr5:19492299-19492384	4-5	923::130	1089::77	439::652	517::644	-0.057419054274400194	0.5449604361413299	0.9989978565313636	Cassette
LOC_Os02g55670	Chr2:34098078-34098119	5	27::687	25::196	7::10	7::7	-0.07823577961244255	0.5459432602898153	0.9989978565313636	A3SS
LOC_Os04g32020	Chr4:19179053-19179202	4	62::1925	28::1535	217::3449	102::3060	0.013288550884652993	0.546030208083725	0.9989978565313636	A5SS
LOC_Os04g34610	Chr4:20944589-20944594	5-6	53::246	78::151	378::543	373::510	-0.16335382862817838	0.547743241177363	0.9989978565313636	A5SS
LOC_Os08g34010	Chr8:21308087-21308918	1	0::93	0::101	1516::2443	1388::2640	0.0	0.5512317911574033	0.9989978565313636	A5SS
LOC_Os03g33012	Chr3:18887959-18888387	1-2	187::228	95::282	105::553	76::587	0.19861301971812978	0.5512404148222988	0.9989978565313636	Cassette
LOC_Os10g27230	Chr10:14357347-14357358	13	6322::74	6550::87	5356::3374	5771::4395	0.0015386009958198166	0.5513144498216	0.9989978565313636	A3SS
LOC_Os05g33020	Chr5:19349796-19349854	7-8	71::381	6::268	93::551	24::309	0.135181835798721	0.5518769823407205	0.9989978565313636	Cassette
LOC_Os08g19114	Chr8:11407650-11407659	4	452::1351	255::1370	1116::1446	955::1351	0.09425344794542914	0.5528237308373024	0.9989978565313636	Cassette
LOC_Os02g29510	Chr2:17535067-17535077	3	49::43	64::30	96::136	95::124	-0.14824236817761327	0.5529717580663491	0.9989978565313636	A5SS
LOC_Os08g36330	Chr8:22888557-22888669	1	138::64	79::87	108::136	97::147	0.20726470237385192	0.553289959992502	0.9989978565313636	Cassette
LOC_Os07g37030	Chr7:22185323-22185517	2	22::448	0::789	26::596	30::998	0.04680851063829787	0.5534358897141076	0.9989978565313636	A3SS
LOC_Os10g26400	Chr10:13713671-13713730	5	68::49	67::7	142::123	157::137	-0.32420882420882413	0.5535497016458414	0.9989978565313636	A3SS
LOC_Os01g53070	Chr1:30491100-30491180	5-6	0::1223	36::1387	173::857	227::1099	-0.025298664792691498	0.5538787108922013	0.9989978565313636	AltEnd
LOC_Os04g52479	Chr4:31203973-31203978	1	558::45	474::7	923::373	922::255	-0.06077811127480004	0.5558638237387985	0.9989978565313636	A5SS
LOC_Os08g06110	Chr8:3366141-3366239	3	4857::222	4564::108	1849::7318	1554::5215	-0.02069019020058238	0.55661612191689	0.9989978565313636	Cassette
LOC_Os07g46460	Chr7:27733975-27734023	7-8	166::444	112::632	87::540	57::715	0.12159351313238145	0.5568912566896094	0.9989978565313636	Cassette
LOC_Os02g55770	Chr2:34145883-34145951	18	423::612	33::462	13::82	7::19	0.33992201728041405	0.5581741954726874	0.9989978565313636	Cassette
LOC_Os02g55670	Chr2:34145883-34145951	1-2	423::612	33::462	13::72	7::16	0.33992201728041405	0.5581741954726874	0.9989978565313636	Cassette
LOC_Os08g38850	Chr8:24561124-24561204	1-2	134::2195	171::2134	196::1525	236::938	-0.016651128047843418	0.5583192823074165	0.9989978565313636	AltStart
LOC_Os09g12540	Chr9:7186509-7186602	2-3	1::305	26::233	57::330	77::313	-0.09711812652989123	0.5585113114629708	0.9989978565313636	Cassette
LOC_Os07g06500	Chr7:3156729-3157021	1	225::26	41::22	180::1178	66::309	0.24562069183583124	0.5591244557207375	0.9989978565313636	Cassette
LOC_Os08g06280	Chr8:3463081-3463206	4	169::338	84::330	314::2679	181::2323	0.13043478260869562	0.5594613336502614	0.9989978565313636	Cassette
LOC_Os10g28060	Chr10:14561634-14562315	2	73::2956	0::3592	188::4034	245::4488	0.024100363156157146	0.5596049004750095	0.9989978565313636	A3SS
LOC_Os10g28060	Chr10:14562538-14564916	1	73::2955	0::3590	137::1762	185::2272	0.024108322324966975	0.5596537871743363	0.9989978565313636	A5SS
LOC_Os01g31629	Chr1:17319671-17319748	5-6	60::1456	39::2010	64::1396	55::1771	0.020553446167707063	0.559846581531245	0.9989978565313636	Cassette
LOC_Os04g55730	Chr4:33171214-33171266	16	846::51	678::4	903::803	716::683	-0.05099108465167368	0.5603059842506493	0.9989978565313636	A3SS
LOC_Os03g63020	Chr3:35635752-35635770	8	956::1	1178::35	875::1124	1092::1375	0.027809148712011456	0.5603085243759756	0.9989978565313636	A3SS
LOC_Os01g69850	Chr1:40363588-40363638	4-5	35::10096	2::10376	126::4471	23::4772	0.003261345629434173	0.5603501793499228	0.9989978565313636	Cassette
LOC_Os06g15370	Chr6:8740644-8741414	3-4	0::449	51::417	25::445	25::410	-0.10897435897435898	0.5604526922358027	0.9989978565313636	Cassette
LOC_Os02g07820	Chr2:4097463-4097490	2	114::156	164::68	150::326	184::213	-0.2846743295019157	0.5620432831098343	0.9989978565313636	A3SS
LOC_Os04g05030	Chr4:2446176-2446224	2	145::44	113::26	3629::2014	2666::1761	-0.04667919799498754	0.5626648637973738	0.9989978565313636	A3SS
LOC_Os02g46380	Chr2:28267385-28267570	2	80::99	32::109	89::464	82::550	0.21997701969174688	0.5634762442053578	0.9989978565313636	AltStart
LOC_Os01g40980	Chr1:23180952-23181027	15-16	42::426	18::492	54::434	42::477	0.05444947209653092	0.5638590528508912	0.9989978565313636	Cassette
LOC_Os03g01240	Chr3:162145-162160	22	360::149	419::85	343::457	373::460	-0.12408005114291953	0.5645632364989978	0.9989978565313636	A5SS
LOC_Os12g37850	Chr12:23256806-23256891	3-4	269::2758	452::3268	231::2145	336::2813	-0.032664534865821326	0.5651944783326202	0.9989978565313636	Cassette
LOC_Os04g40060	Chr4:23853462-23853546	3	4202::26	4129::16	3951::1048	3918::1329	-0.002289407283056377	0.5655269233399521	0.9989978565313636	A3SS
LOC_Os02g32750	Chr2:19450359-19450579	3	84::13	72::49	57::47	65::88	0.2709380591292494	0.5661182747703531	0.9989978565313636	AltEnd
LOC_Os12g43940	Chr12:27268509-27268707	6	87::3449	49::4376	155::3110	140::4057	0.013523669872486021	0.5674053147091273	0.9989978565313636	A3SS
LOC_Os07g33610	Chr7:20079481-20079680	3	479::229	375::322	881::981	633::840	0.13853358623317047	0.5674750603726031	0.9989978565313636	A3SS
LOC_Os01g53620	Chr1:30787471-30787538	2-3	22::1621	69::1772	114::1529	85::1510	-0.02408949064769703	0.5680050742330313	0.9989978565313636	Cassette
LOC_Os07g33860	Chr7:20280864-20280911	5	979::0	572::24	52::171	52::230	0.0400734680247119	0.5682497088784154	0.9989978565313636	A3SS
LOC_Os03g49620	Chr3:28258579-28258697	2	474::0	298::46	483::132	315::145	0.13372093023255816	0.5684176277883511	0.9989978565313636	A5SS
LOC_Os01g14610	Chr1:8181242-8181258	3-4	47::555	37::983	172::729	158::1195	0.041798579897075104	0.5688072069126328	0.9989978565313636	Cassette
LOC_Os02g39570	Chr2:23886450-23887135	3	43::1883	26::2542	71::1406	39::1835	0.012201453790238839	0.5689841350501331	0.9989978565313636	Cassette_multi
LOC_Os02g39030	Chr2:23574171-23574203	4	0::468	17::176	1056::1512	753::1162	-0.09043927648578812	0.5691196074887784	0.9989978565313636	A5SS
LOC_Os06g11440	Chr6:6044408-6044503	7	0::284	1::1014	27::166	75::1077	-9.852216748768472E-4	0.5706160558325867	0.9989978565313636	A3SS
LOC_Os08g39980	Chr8:25329126-25329137	1	7::61	21::55	189::323	176::258	-0.1705374917053749	0.5710243883723473	0.9989978565313636	A3SS
LOC_Os07g47620	Chr7:28474007-28474018	4	1131::1369	1004::1503	1318::2019	1238::2037	0.051921340247307546	0.5722433386230968	0.9989978565313636	A3SS
LOC_Os06g46310	Chr6:28064927-28065008	1	78::132	22::135	324::309	205::271	0.2313011828935396	0.573296068099201	0.9989978565313636	A5SS
LOC_Os11g46240	Chr11:28001702-28001847	3-4	475::1287	356::1531	265::1170	205::1283	0.08092077521869867	0.5733030901679541	0.9989978565313636	Cassette
LOC_Os07g29794	Chr7:17514768-17514773	2	54::169	13::175	158::274	117::171	0.17300353019750025	0.5745710006228089	0.9989978565313636	A3SS
LOC_Os04g01530	Chr4:365939-365991	5-6	239::1445	278::1112	224::1494	229::1172	-0.05807600950118766	0.5748031987030158	0.9989978565313636	Cassette
LOC_Os10g35436	Chr10:18942119-18942573	9	14::88	18::90	107::179	141::109	-0.02941176470588233	0.5750501632879786	0.9989978565313636	AltEnd
LOC_Os05g46030	Chr5:26700415-26700428	35	885::18	1361::0	720::933	1096::1353	-0.019933554817275767	0.5752509115586033	0.9989978565313636	A5SS
LOC_Os12g44310	Chr12:27466825-27467162	4	11::796	16::751	251::1361	123::1107	-0.007229764333916561	0.576407977533059	0.9989978565313636	A3SS
LOC_Os12g44360	Chr12:27499470-27499596	17-18	20::1236	52::1021	15::1061	42::880	-0.03253868847982619	0.5764322020106633	0.9989978565313636	Cassette
LOC_Os03g63430	Chr3:35834682-35834687	10	46::8013	0::8802	1704::6964	1769::7345	0.00570790420647723	0.5771956348087534	0.9989978565313636	A5SS
LOC_Os07g06890	Chr7:3366164-3366215	12	465::67	625::37	423::468	531::501	-0.07004861095336523	0.5775828746470313	0.9989978565313636	A5SS
